,index,1,0
96,4551,"CH3NH3PbI3-None-poly(3,4-ethylenedioxythiophene) polystyrene sulfonate-0.88 ± 0.02 ( 0.90 )- 'PEDOT ",8.8
97,4547,"CH3NH3PbI3-None-poly(3,4-ethylenedioxythiophene) polystyrene sulfonate-0.88 ± 0.04 ( 0.90 )- 'PEDOT ",7.6
98,4548,CH3NH3PbI3-None-specifier-Conventional- 'Conventional'},6.7
99,5876,CH3NH3PbI3-None-spiro - MeOTAD-FTO- {'specifier',12.8
100,2692,CH3NH3PbI3-None-spiro - MeOTAD-glass- {'specifier',15.91
101,4716,CH3NH3PbI3-None-spiro - OMeTAD-FTO- {'specifier',18.0
102,6397,CH3NH3PbI3-None-tin dioxide-SnO2- 'tin dioxide',14.34
103,5765,CH3NH3PbI3-None-titanium dioxide-TiO2- 'titanium dioxide',9.56
104,58,CH3NH3PbI3-Spiro - OMeTAD-c-TiO2-FTO- {'specifier',14.45
105,5127,CH3NH3PbI3-document-SnO2-ITO- {'specifier',15.03
106,6661,CH3NH3PbI3-document-TiO2-FTO- {'specifier',9.7
107,310,CH3NH3PbI3-document-ZnO-FTO- {'specifier',2.6
108,4904,CH3NH3PbI3-document-ZnO-ITO- {'specifier',7.68
109,6579,CH3NH3PbI3-document-titanium dioxide-TiO2- 'titanium dioxide',8.78
110,2696,CH3NH3PbI3-specifier-PEDOT -FTO- {'specifier',8.23
111,97,CH3NH3PbI3-specifier-PEDOT -ITO- {'specifier',6.87
112,1334,CH3NH3PbI3-specifier-PEDOT -glass- {'specifier',7.42
113,4025,CH3NH3PbI3-specifier-PEDOT -indium tin oxide- {'specifier',8.67
114,2009,CH3NH3PbI3-spiro - OMeTAD-SnO2-FTO- {'specifier',13.67
115,965,CH3NH3PbI3-xBrx-None-None-None-None,17.24
116,2578,CH3NH3PbI3-xBrx-None-None-gold-None,14.77
117,3459,"CH3NH3PbI3-xClx-None-PEDOT-PEDOT - 'poly(3,4-ethylenedioxythiophene) polystyrene sulfonate'",15.2
118,6892,CH3NH3PbI3-xClx-specifier-PEDOT -ITO- {'specifier',7.95
119,3097,CH3NH3PbI3−xClx-None-None-None-None,9.66
120,7506,CH3NH3PbI3−xClx-None-None-gold-None,8.25
121,1262,CH3NH3PbI3−xClx-None-None-indium tin oxide-None,9.84
122,7504,CH3NH3PbI3−xClx-None-document-Cu - BHT- 'gold',14.13
123,7505,CH3NH3PbI3−xClx-None-document-ITO- 'gold',8.29
124,5911,CH3NH3PbI3−xClx-None-titanium dioxide-TiO2- 'titanium dioxide',5.6
125,6589,CH3NH3PbI3−xClx-document-TiO2-ITO- {'specifier',8.9
126,5154,CH3NH3PbI3−xClx-specifier-PEDOT -ITO- {'specifier',6.16
127,3100,CH3NH3PbI3−xClx-specifier-PEDOT -glass- {'specifier',12.73
128,2738,CH3NH3PbX3-None-None-FTO-None,7.91
129,5751,Cs0.15((CH3NH3)0.7(CH5N2)0.3)0.85PbI3-None-None-None-None,17.6
130,6878,"Cs0.15(CH5N2)0.85PbI3-None-PEDOT-PEDOT - 'poly(3,4-ethylenedioxythiophene) polystyrene sulfonate'",8.15
